column,count,mean,std,min,1%,5%,50%,95%,99%,max
Unnamed: 0,82500.0,43286.01126060606,25051.270583981554,0.0,844.98,4246.95,43243.5,82284.05,85682.01,86537.0
appid,82500.0,1529383.3637575759,908323.8015317937,10.0,36209.7,315549.5,1380340.0,3196771.5,3524702.699999999,3744990.0
score_rank,44.0,99.20454545454545,0.6675029990193219,98.0,98.0,98.0,99.0,100.0,100.0,100.0
positive,82500.0,1537.8608606060607,33435.500607504175,0.0,0.0,1.0,17.0,2315.050000000003,21945.099999999948,7642084.0
negative,82500.0,252.85802424242425,6343.738439109096,0.0,0.0,0.0,5.0,438.0,3472.1099999999424,1173003.0
userscore,81948.0,75.3782796407478,23.881700208077824,0.0,0.0,26.09,81.25,100.0,100.0,100.0
average_forever,82500.0,239.03243636363635,3084.5260498860825,0.0,0.0,0.0,0.0,880.0500000000029,3153.0299999999843,608013.0
average_2weeks,82500.0,15.780375757575758,247.58484958484934,0.0,0.0,0.0,0.0,0.0,331.0,19953.0
median_forever,82500.0,197.39452121212122,3247.5068579621893,0.0,0.0,0.0,0.0,703.0,2403.0099999999948,608015.0
median_2weeks,82500.0,16.782921212121213,266.2542183397538,0.0,0.0,0.0,0.0,0.0,327.00999999999476,19953.0
price,82472.0,757.5434692986711,1292.0713049356384,0.0,0.0,0.0,499.0,1999.0,4499.0,99998.0
initialprice,82479.0,830.2961723590247,1356.453244256706,0.0,0.0,0.0,499.0,2499.0,4999.0,99998.0
discount,82479.0,5.33389105105542,18.00437099674872,0.0,0.0,0.0,0.0,51.0,85.0,100.0
ccu,82500.0,69.72307878787879,3934.0940528760084,0.0,0.0,0.0,0.0,21.0,443.0,1013936.0
average_forever_hours,82500.0,3.9838738181818183,51.40876380072404,0.0,0.0,0.0,0.0,14.670500000000029,52.55049999999974,10133.55
average_2weeks_hours,82500.0,0.2630109090909091,4.126430978422676,0.0,0.0,0.0,0.0,0.0,5.52,332.55
median_forever_hours,82500.0,3.289909090909091,54.1251052162254,0.0,0.0,0.0,0.0,11.72,40.05019999999989,10133.58
median_2weeks_hours,82500.0,0.27971854545454544,4.43759305670847,0.0,0.0,0.0,0.0,0.0,5.450199999999896,332.55
reviews_total,82500.0,1790.7188848484848,38742.08692074739,0.0,1.0,1.0,24.0,2825.050000000003,26043.089999999953,8815087.0
